study_hours,attendance_rate,midterm_score,assignments_submitted,passed
4,80,2.5,10,0
4,86.7,2.5,10,0
4,66.7,3.5,4,1
7.5,93.3,7.5,10,1
4,86.7,3,10,1
4,66.7,7.5,10,1
4,100,6,10,1
4,80,3,10,0
4,100,8,10,1
4,100,7,10,1
4,100,5,10,0
7.5,86.7,5,10,1
2,93.3,7,10,1
4,93.3,5,10,1
7.5,100,7,10,1
2,86.7,7,10,1
7.5,80,6.5,10,1
4,86.7,4,10,1
2,46.7,3,4,0
2,86.7,4,10,1
4,100,6.5,10,1
2,100,6,10,1
4,93.3,7.5,10,1
4,100,6.5,10,1
7.5,93.3,5,10,0
2,53.3,3,6,0
2,93.3,6,10,1
2,86.7,7.5,10,1
4,86.7,5.5,10,1
4,46.7,5,10,1
4,100,4.5,10,1
4,100,8.5,10,1
4,100,8.5,10,1
4,100,4,10,1
2,100,6,10,1
2,100,4,10,0
7.5,93.3,7.5,10,1
7.5,76.7,7.5,10,1
7.5,93.3,6,10,1
2,73.3,7,10,1
4,16.7,3.5,8,1
2,73.3,6,10,1
4,93.3,9.5,10,1
2,100,4,10,1
4,53.3,5,8,0
4,73.3,4,10,0
4,60,5.5,10,1
12,86.7,9.5,10,1
4,93.3,7.5,10,1
4,93.3,3.5,8,0
4,93.3,6,10,1
4,93.3,5.5,10,1
2,80,5.5,8,1
2,100,4,10,1
2,80,5,10,1
4,73.3,4,10,1
4,100,7,10,1
4,86.7,7,10,1
4,93.3,4.5,10,0
4,93.3,7.5,10,1
4,80,5,10,1
2,80,5,10,1
4,86.7,4,10,0
7.5,93.3,5,10,0
4,100,5,10,1
4,93.3,8,10,1
12,86.7,6.5,10,1
12,86.7,3.5,10,0
4,93.3,4,10,0
12,60,8,10,1
12,100,6.5,10,1
12,100,5,10,1
4,93.3,4,6,0
2,93.3,6,10,1
4,0,5.5,10,1
4,80,4.5,10,1
12,73.3,5.5,10,1
12,100,5.5,10,1
2,93.3,4,4,1
4,60,2.5,10,0
2,93.3,5,10,1
7.5,86.7,5.5,10,1
4,66.7,3.5,10,0
4,86.7,7.5,10,1
4,93.3,4.5,10,1
4,80,3.5,6,0
4,86.7,4,10,0
7.5,86.7,6.5,10,1
4,60,5.5,8,1
4,40,4,10,0
7.5,100,3.5,10,0
2,86.7,8,10,1
4,86.7,3.5,10,0
4,100,5.5,10,1
12,80,5.5,10,1
12,93.3,3.5,8,1
2,93.3,5.5,10,1
4,93.3,4,10,1
2,80,5.5,10,1
7.5,100,3.5,10,0
2,53.3,3.5,10,0
7.5,100,8,10,1
2,86.7,5,10,1
4,13.3,3.5,10,0
4,100,8,10,1
12,66.7,5,10,1
12,73.3,3.5,10,0
7.5,93.3,8,10,1
12,80,5,10,1
7.5,86.7,7,10,1
2,80,9,10,1
7.5,100,3.5,8,1
4,80,5,8,1
2,66.7,9,10,1
4,73.3,4.5,10,0
4,93.3,7.5,10,1
4,93.3,5.5,10,1
2,100,6.5,10,1
4,33.3,4.5,8,0
2,80,7,10,1
4,93.3,8,10,1
12,80,8,10,1
4,93.3,6.5,10,1
2,40,7,10,1
4,100,4,10,0
2,100,6.5,10,1
4,100,3.5,10,1
4,93.3,3.5,4,0
2,100,3.5,6,0
2,73.3,9,10,1
7.5,100,6,6,0
2,100,4,10,0
2,60,5,10,1
2,46.7,6,10,1
4,100,4.5,10,0
7.5,100,5.5,10,0
4,100,5,10,0
2,100,2,6,0
4,100,7,8,1
2,100,8,10,1
12,100,3.5,10,0
2,73.3,4.5,6,0
7.5,93.3,4.5,10,1
2,93.3,7,10,1
2,100,2.5,4,0
4,100,4,10,1
4,100,3,4,0
4,93.3,5,10,1
2,100,3.5,10,0
2,100,4,4,1
2,100,3,4,0
2,80,6,8,1
7.5,73.3,5,6,1
2,100,2.5,4,0
2,100,5.5,10,1
4,93.3,5.5,10,0
2,73.3,8,10,1
2,80,4.5,4,1
2,93.3,8.5,10,1
4,86.7,5,8,1
2,100,3.5,6,0
4,80,2.5,6,0
2,100,3.5,8,0
2,93.3,5,10,1
4,100,2.5,4,0
2,46.7,6,8,1
4,86.7,5,10,1
4,100,7,10,1
4,100,3,10,0
4,100,7,10,1
2,100,3,6,0
4,93.3,6.5,10,1
4,100,6.5,10,1
4,100,4,4,0
4,86.7,5,10,0
4,86.7,5,10,0
4,93.3,6.5,10,1
4,86.7,3,10,0
2,66.7,5,10,0
4,86.7,5,10,1
4,66.7,4.5,10,0
4,93.3,6,10,1
4,100,8,10,1
4,0,4.5,10,0
4,53.3,6,10,1
4,60,6,10,1
2,93.3,5.5,10,1
4,100,7.5,10,1
4,80,4,10,0
4,86.7,4,10,1
4,66.7,5.5,10,1
4,100,4,10,0
4,60,3.5,10,0
2,73.3,4,10,1
2,100,6.5,10,1
4,100,7,10,1
2,86.7,8.5,10,1
2,73.3,4.5,10,1
2,20,9,8,1
4,100,4.5,10,1
4,93.3,8,10,1
4,80,4,10,1
4,86.7,4.5,10,1
2,40,3.5,10,0
12,80,5,10,1
7.5,6.7,5,8,0
4,83.3,3.5,4,0
4,66.7,5.5,10,1
2,80,4.5,10,1
7.5,80,3.5,10,0
12,66.7,4,10,0
4,56.7,6,10,1
4,100,6,10,1
4,50,3,8,0
2,60,4,10,1
4,93.3,7,10,1
4,26.7,3,6,0
4,56.7,3,8,0
2,90,3.5,10,0
7.5,86.7,4.5,10,1
4,93.3,3,10,0
7.5,100,3,8,0
4,93.3,8,10,1
4,100,6,10,1
7.5,100,6.5,10,1
4,46.7,4.5,8,0
4,66.7,8,10,1
4,93.3,6,10,1
4,53.3,5,10,0
7.5,66.7,6,10,1
4,53.3,6.5,10,1
4,86.7,5.5,10,1
4,53.3,5.5,10,0
4,93.3,7,10,1
4,40,4.5,10,0
7.5,66.7,5.5,10,1
4,86.7,7,10,1
2,33.3,6.5,10,1
4,93.3,6.5,10,1
4,100,3.5,8,0
4,53.3,6,10,1
4,93.3,5,10,1
2,100,3,10,0
2,100,6.5,10,1
7.5,100,3.5,10,0
2,80,9,10,1
2,86.7,6,10,1
2,46.7,3,4,0
4,73.3,1.5,8,0
2,100,6.5,10,1
2,100,3,8,0
4,80,3.5,10,1
2,86.7,3,8,0
2,100,4,10,0
2,100,4,10,1
2,93.3,3.5,8,0
12,80,7,10,1
4,60,5.5,10,1
4,73.3,7.5,10,1
12,100,5,10,0
4,30,8.5,10,1
4,93.3,4,10,0
7.5,96.7,6.5,10,1
7.5,86.7,5,10,0
7.5,100,4.5,10,0
4,56.7,8.5,10,1
4,93.3,4.5,10,1
4,73.3,6,10,1
4,66.7,5,10,1
4,100,3,10,0
4,50,4.5,6,0
12,86.7,7.5,10,1
4,93.3,5.5,10,1
4,93.3,7.5,10,1
4,93.3,5,10,1
4,80,6,10,1
4,0,5,10,0
2,26.7,4.5,10,0
4,50,4.5,8,0
2,73.3,5,10,1
2,0,4,10,0
2,36.7,5.5,8,1
12,96.7,6,10,1
4,86.7,4,10,1
4,86.7,5,10,1
4,93.3,6,10,1
7.5,83.3,9,10,1
7.5,80,6.5,10,1
7.5,80,7.5,10,1
4,70,7.5,10,1
4,63.3,6,10,1
7.5,100,7.5,10,1
4,60,6,8,1
12,80,9,10,1
7.5,73.3,7,10,1
2,86.7,7,10,1
4,100,5,10,0
4,66.7,5,10,0
12,100,7,10,1
2,83.3,8,10,1
4,53.3,6,10,1
2,100,5.5,10,1
7.5,100,7.5,10,1
12,100,8.5,10,1
4,33.3,7.5,8,1
4,73.3,7,8,1
2,100,8.5,10,1
2,0,4,8,0
4,100,7.5,8,1
4,40,6,8,1
4,100,4.5,8,0
4,33.3,7,10,1
4,90,6.5,8,1
4,26.7,6.5,8,1
7.5,53.3,7.5,6,1
7.5,0,6.5,8,1
4,100,4,10,0
7.5,70,4.5,10,0
7.5,100,5.5,10,1
4,93.3,5.5,10,1
4,23.3,6.5,10,1
4,60,5.5,10,0
7.5,90,5.5,10,1
7.5,96.7,6,10,1
7.5,100,8,10,1
7.5,90,4.5,10,1
2,90,7,10,1
2,73.3,5.5,10,1
7.5,76.7,5,10,0
7.5,86.7,7,10,1
12,93.3,4.5,10,0
7.5,76.7,6,10,1
4,100,3.5,10,0
4,100,4,10,0
12,100,5,10,0
7.5,46.7,8,10,1
7.5,60,7,8,1
4,100,3.5,10,0
12,76.7,8,10,1
4,86.7,4.5,10,1
7.5,86.7,5.5,8,1
4,100,5,8,0
4,63.3,8,10,1
4,100,4.5,8,0
7.5,86.7,5.5,10,1
7.5,76.7,6.5,10,1
7.5,70,8,10,1
7.5,100,5,10,0
7.5,100,6.5,10,1
2,66.7,5.5,8,1
4,73.3,4,4,0
4,93.3,6.5,10,1
2,76.7,4,8,0
2,86.7,4,8,0
4,86.7,6.5,10,1
4,100,5,10,0
4,86.7,6,10,1
4,93.3,6,10,1
2,86.7,5,10,1
7.5,100,9,10,1
4,100,6.5,10,1
4,93.3,6.5,8,1
4,100,5.5,10,1
4,100,8,10,1
4,100,6,10,1
4,86.7,5,10,1
7.5,100,6.5,10,1
2,100,3.5,8,0
2,100,5.5,10,1
4,66.7,7,10,1
4,86.7,3.5,6,0
2,90,7,10,1
7.5,73.3,6.5,10,1
2,53.3,3,10,0
7.5,100,9.5,10,1
7.5,93.3,4,10,1
7.5,86.7,7.5,6,1
4,86.7,4,10,1
4,100,7.5,10,1
4,43.3,5,10,1
4,86.7,7.5,10,1
2,83.3,3.5,10,0
4,93.3,5.5,10,1
2,100,3,8,0
2,53.3,3,8,0
7.5,93.3,5,10,1
2,76.7,3,10,0
7.5,100,3.5,8,0
4,100,3.5,10,0
4,100,3,8,0
4,63.3,4.5,6,0
2,90,7,10,1
2,90,5,4,0
2,100,5.5,10,1
2,83.3,4,10,0
